date,shadow_equity,open_equity,wc_dd,damaged,green,recent_r20,recent_r40,spy_r20,native_close_target,effective_native,control_allocation,A_allocation,B_allocation,control_nav,A_nav,B_nav,spy_nav,control_reason,A_reason,B_reason,fast_signal,slow_signal,eligible_count,leadership_population,held_count,research_eligible_universe,research_ranking_count,research_ranking_sha256,research_selected_positions_sha256,research_selected_positions,research_ldrc_state
2006-07-31,92410966.71752562,91522149.87468863,-0.07589033282474389,0.68,0.2,-0.06291602501384141,-0.06291602501384141,0.004484508577333068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NORMAL,NORMAL,NORMAL,False,False,1063,107,25,1063,107,dcefdbbb0eddeabfcb71d4d6a1a2e55f5f0261b47b8d5cb45c1698f2c0beb102,e0069ae2ec3b9d642234b1e7c0ce19bb4e0f580e5f0841c9128e960c5c851acf,"[""1035638340512403010"",""1040633074096912075"",""1099247927332588244"",""1101212501432953147"",""117908596615035418"",""134352070820280377"",""214820292338870148"",""244656944763341218"",""266855227169442591"",""271029648870576069"",""320397541735962213"",""353685636371040898"",""40196728613332525"",""43902875209253344"",""452140482835311476"",""530996274575880476"",""555782615540001401"",""70004177131076678"",""720308907044255892"",""788900523736619527"",""8209006061861920"",""840588175708298328"",""88378928586164151"",""927939971812641882"",""950063614365024268""]","{""concordance_releases"":0,""episode"":false,""episodes"":0,""full_streak"":0,""latched"":false,""prev_desired"":1.0,""prev_native"":1.0,""recent_positive_streak"":0}"
2006-08-01,90884672.05752562,91799728.41346364,-0.09115327942474383,0.84,0.12,-0.06758628182714621,-0.06758628182714621,-0.00453409617711209,1.0,1.0,1.0,1.0,1.0,0.9834836198103473,0.9834836198103473,0.9834836198103473,0.9950721099507212,NORMAL,NORMAL,NORMAL,False,False,1080,108,25,1080,108,25da1eb3232fd150a052f1cece49490c91dff9d21979f15b63aaa9543062bab9,e0069ae2ec3b9d642234b1e7c0ce19bb4e0f580e5f0841c9128e960c5c851acf,"[""1035638340512403010"",""1040633074096912075"",""1099247927332588244"",""1101212501432953147"",""117908596615035418"",""134352070820280377"",""214820292338870148"",""244656944763341218"",""266855227169442591"",""271029648870576069"",""320397541735962213"",""353685636371040898"",""40196728613332525"",""43902875209253344"",""452140482835311476"",""530996274575880476"",""555782615540001401"",""70004177131076678"",""720308907044255892"",""788900523736619527"",""8209006061861920"",""840588175708298328"",""88378928586164151"",""927939971812641882"",""950063614365024268""]","{""concordance_releases"":0,""episode"":false,""episodes"":0,""full_streak"":0,""latched"":false,""prev_desired"":1.0,""prev_native"":1.0,""recent_positive_streak"":0}"
2006-08-02,91713406.40752561,91659211.53664961,-0.0828659359247439,0.84,0.12,-0.06259000635053635,-0.06259000635053635,0.007948962882096344,1.0,1.0,1.0,1.0,1.0,0.9924515419026808,0.9924515419026808,0.9924515419026808,1.001797097517971,NORMAL,NORMAL,NORMAL,False,False,1084,109,25,1084,109,bebbc2b3b16ad2ccf7ce79c7a001252dca2b312ff3e148ab8ee16eb721cdb27c,e0069ae2ec3b9d642234b1e7c0ce19bb4e0f580e5f0841c9128e960c5c851acf,"[""1035638340512403010"",""1040633074096912075"",""1099247927332588244"",""1101212501432953147"",""117908596615035418"",""134352070820280377"",""214820292338870148"",""244656944763341218"",""266855227169442591"",""271029648870576069"",""320397541735962213"",""353685636371040898"",""40196728613332525"",""43902875209253344"",""452140482835311476"",""530996274575880476"",""555782615540001401"",""70004177131076678"",""720308907044255892"",""788900523736619527"",""8209006061861920"",""840588175708298328"",""88378928586164151"",""927939971812641882"",""950063614365024268""]","{""concordance_releases"":0,""episode"":false,""episodes"":0,""full_streak"":0,""latched"":false,""prev_desired"":1.0,""prev_native"":1.0,""recent_positive_streak"":0}"
2006-08-03,92576875.26752563,90716233.64915262,-0.07423124732474373,0.76,0.12,-0.06390638834121454,-0.06417976730218855,0.0076877721335273375,1.0,1.0,1.0,1.0,1.0,1.001795333994364,1.001795333994364,1.001795333994364,1.004453185044532,NORMAL,NORMAL,NORMAL,False,False,1095,110,25,1095,110,10ffa000f177b0252f553fd79444e6f7f5a37a2e21479a6b53297ab0d98ba297,e0069ae2ec3b9d642234b1e7c0ce19bb4e0f580e5f0841c9128e960c5c851acf,"[""1035638340512403010"",""1040633074096912075"",""1099247927332588244"",""1101212501432953147"",""117908596615035418"",""134352070820280377"",""214820292338870148"",""244656944763341218"",""266855227169442591"",""271029648870576069"",""320397541735962213"",""353685636371040898"",""40196728613332525"",""43902875209253344"",""452140482835311476"",""530996274575880476"",""555782615540001401"",""70004177131076678"",""720308907044255892"",""788900523736619527"",""8209006061861920"",""840588175708298328"",""88378928586164151"",""927939971812641882"",""950063614365024268""]","{""concordance_releases"":0,""episode"":false,""episodes"":0,""full_streak"":0,""latched"":false,""prev_desired"":1.0,""prev_native"":1.0,""recent_positive_streak"":0}"
2006-08-04,91601762.67752562,93608995.48491764,-0.08398237322474378,0.76,0.12,-0.04888819679069989,-0.0655931457338087,0.012566054532796356,1.0,1.0,1.0,1.0,1.0,0.9912434198153829,0.9912434198153829,0.9912434198153829,1.0027352050273521,NORMAL,NORMAL,NORMAL,False,False,1102,111,25,1102,111,bd2e160ab363bd893ab59fe7a42270abb070ebbc45e090c7bd7ae86481fe9419,e0069ae2ec3b9d642234b1e7c0ce19bb4e0f580e5f0841c9128e960c5c851acf,"[""1035638340512403010"",""1040633074096912075"",""1099247927332588244"",""1101212501432953147"",""117908596615035418"",""134352070820280377"",""214820292338870148"",""244656944763341218"",""266855227169442591"",""271029648870576069"",""320397541735962213"",""353685636371040898"",""40196728613332525"",""43902875209253344"",""452140482835311476"",""530996274575880476"",""555782615540001401"",""70004177131076678"",""720308907044255892"",""788900523736619527"",""8209006061861920"",""840588175708298328"",""88378928586164151"",""927939971812641882"",""950063614365024268""]","{""concordance_releases"":0,""episode"":false,""episodes"":0,""full_streak"":0,""latched"":false,""prev_desired"":1.0,""prev_native"":1.0,""recent_positive_streak"":0}"
2006-08-07,90867502.33752562,90810819.34269261,-0.09132497662474381,0.68,0.2,-0.051010090917063544,-0.07080935615241646,0.008270299826848015,1.0,1.0,1.0,1.0,1.0,0.9832978223816451,0.9832978223816451,0.9832978223816451,1.000384285003843,NORMAL,NORMAL,NORMAL,False,False,1104,111,25,1104,111,c911c522ec3ab57517d2078c7e163349a3facba897830cb8b987354c351bc585,e0069ae2ec3b9d642234b1e7c0ce19bb4e0f580e5f0841c9128e960c5c851acf,"[""1035638340512403010"",""1040633074096912075"",""1099247927332588244"",""1101212501432953147"",""117908596615035418"",""134352070820280377"",""214820292338870148"",""244656944763341218"",""266855227169442591"",""271029648870576069"",""320397541735962213"",""353685636371040898"",""40196728613332525"",""43902875209253344"",""452140482835311476"",""530996274575880476"",""555782615540001401"",""70004177131076678"",""720308907044255892"",""788900523736619527"",""8209006061861920"",""840588175708298328"",""88378928586164151"",""927939971812641882"",""950063614365024268""]","{""concordance_releases"":0,""episode"":false,""episodes"":0,""full_streak"":0,""latched"":false,""prev_desired"":1.0,""prev_native"":1.0,""recent_positive_streak"":0}"
2006-08-08,89832865.04763474,91220932.84639464,-0.10167134952365264,0.7916666666666666,0.16666666666666666,-0.06070526575567736,-0.07422038395335229,2.220446049250313e-16,1.0,1.0,1.0,1.0,1.0,0.9721017779440463,0.9721017779440463,0.9721017779440463,0.9965527374655275,NORMAL,NORMAL,NORMAL,False,False,1111,112,24,1111,112,ecad715d4b1cf1ba3ff3a8452efc0f110058b1d2c229021ca8b2ece677672e68,3e4ead68f2e2142940ca61f902e33546c1d2779dd56dd4466103463ccc12c525,"[""1035638340512403010"",""1040633074096912075"",""1099247927332588244"",""1101212501432953147"",""117908596615035418"",""134352070820280377"",""214820292338870148"",""244656944763341218"",""266855227169442591"",""271029648870576069"",""320397541735962213"",""353685636371040898"",""40196728613332525"",""43902875209253344"",""452140482835311476"",""555782615540001401"",""70004177131076678"",""720308907044255892"",""788900523736619527"",""8209006061861920"",""840588175708298328"",""88378928586164151"",""927939971812641882"",""950063614365024268""]","{""concordance_releases"":0,""episode"":false,""episodes"":0,""full_streak"":0,""latched"":false,""prev_desired"":1.0,""prev_native"":1.0,""recent_positive_streak"":0}"
2006-08-09,88823740.88763475,90576427.45679677,-0.1117625911236525,0.7916666666666666,0.20833333333333334,-0.05481185475860606,-0.07813220015805844,0.007382781153272511,1.0,1.0,1.0,1.0,1.0,0.9611818168631868,0.9611818168631868,0.9611818168631868,0.9931958949319585,NORMAL,NORMAL,NORMAL,False,False,1114,112,24,1114,112,fc870e142140b3c59fda6e08e4411f38de659c148de3134cbb62018c8db0e8e8,3e4ead68f2e2142940ca61f902e33546c1d2779dd56dd4466103463ccc12c525,"[""1035638340512403010"",""1040633074096912075"",""1099247927332588244"",""1101212501432953147"",""117908596615035418"",""134352070820280377"",""214820292338870148"",""244656944763341218"",""266855227169442591"",""271029648870576069"",""320397541735962213"",""353685636371040898"",""40196728613332525"",""43902875209253344"",""452140482835311476"",""555782615540001401"",""70004177131076678"",""720308907044255892"",""788900523736619527"",""8209006061861920"",""840588175708298328"",""88378928586164151"",""927939971812641882"",""950063614365024268""]","{""concordance_releases"":0,""episode"":false,""episodes"":0,""full_streak"":0,""latched"":false,""prev_desired"":1.0,""prev_native"":1.0,""recent_positive_streak"":0}"
2006-08-10,89030336.77238475,88493577.06234375,-0.10969663227615256,0.7391304347826086,0.21739130434782608,-0.021927689771314984,-0.07560658259070907,0.027176003076528454,1.0,1.0,1.0,1.0,1.0,0.96341743772171,0.96341743772171,0.96341743772171,0.9962362674623624,NORMAL,NORMAL,NORMAL,False,False,1108,111,23,1108,111,b04235ffa27bba58634db85697efeb0ab13994dfeaf8333916d04105ebebf745,1320c8d910978caeff4b5e84b3ae7447eeb7d700e2d14f2032b9e82ea2dd6bb2,"[""1035638340512403010"",""1040633074096912075"",""1099247927332588244"",""1101212501432953147"",""117908596615035418"",""214820292338870148"",""244656944763341218"",""266855227169442591"",""271029648870576069"",""320397541735962213"",""353685636371040898"",""40196728613332525"",""43902875209253344"",""452140482835311476"",""555782615540001401"",""70004177131076678"",""720308907044255892"",""788900523736619527"",""8209006061861920"",""840588175708298328"",""88378928586164151"",""927939971812641882"",""950063614365024268""]","{""concordance_releases"":0,""episode"":false,""episodes"":0,""full_streak"":0,""latched"":false,""prev_desired"":1.0,""prev_native"":1.0,""recent_positive_streak"":0}"
2006-08-11,87830418.99238473,89005120.79323874,-0.12169581007615271,0.6521739130434783,0.21739130434782608,-0.026292118792436425,-0.07995417825642004,0.0282525532586948,1.0,1.0,1.0,1.0,1.0,0.9504328556680688,0.9504328556680688,0.9504328556680688,0.9934219449342192,NORMAL,NORMAL,NORMAL,False,False,1102,111,23,1102,111,c750a06cb7496ae96d701cbfa9feede830221c151d6ccf855e3066da7fe27a16,1320c8d910978caeff4b5e84b3ae7447eeb7d700e2d14f2032b9e82ea2dd6bb2,"[""1035638340512403010"",""1040633074096912075"",""1099247927332588244"",""1101212501432953147"",""117908596615035418"",""214820292338870148"",""244656944763341218"",""266855227169442591"",""271029648870576069"",""320397541735962213"",""353685636371040898"",""40196728613332525"",""43902875209253344"",""452140482835311476"",""555782615540001401"",""70004177131076678"",""720308907044255892"",""788900523736619527"",""8209006061861920"",""840588175708298328"",""88378928586164151"",""927939971812641882"",""950063614365024268""]","{""concordance_releases"":0,""episode"":false,""episodes"":0,""full_streak"":0,""latched"":false,""prev_desired"":1.0,""prev_native"":1.0,""recent_positive_streak"":0}"
